T1 - T | 1 | Маркер иниц. срабатывание перехода | Маркер #1
T1 - T | 2 | Переход завершил работу | Маркер #1
T2 - T | 2 | Маркер иниц. срабатывание перехода | Маркер #1
T2 - T | 3 | Переход завершил работу | Маркер #1
T1 - T | 3 | Маркер иниц. срабатывание перехода | Маркер #2
T1 - T | 4 | Переход завершил работу | Маркер #2
T2 - T | 4 | Маркер иниц. срабатывание перехода | Маркер #2
T2 - T | 5 | Переход завершил работу | Маркер #2
T1 - T | 5 | Маркер иниц. срабатывание перехода | Маркер #3
T1 - T | 6 | Переход завершил работу | Маркер #3
T2 - T | 6 | Маркер иниц. срабатывание перехода | Маркер #3
T2 - T | 7 | Переход завершил работу | Маркер #3
T1 - T | 7 | Маркер иниц. срабатывание перехода | Маркер #4
T1 - T | 8 | Переход завершил работу | Маркер #4
T2 - T | 8 | Маркер иниц. срабатывание перехода | Маркер #4
T2 - T | 9 | Переход завершил работу | Маркер #4
T1 - T | 9 | Маркер иниц. срабатывание перехода | Маркер #5
T1 - T | 10 | Переход завершил работу | Маркер #5
T2 - T | 10 | Маркер иниц. срабатывание перехода | Маркер #5
T2 - T | 11 | Переход завершил работу | Маркер #5
T1 - T | 11 | Маркер иниц. срабатывание перехода | Маркер #6
T1 - T | 12 | Переход завершил работу | Маркер #6
T2 - T | 12 | Маркер иниц. срабатывание перехода | Маркер #6
T2 - T | 13 | Переход завершил работу | Маркер #6
T1 - T | 13 | Маркер иниц. срабатывание перехода | Маркер #7
T1 - T | 14 | Переход завершил работу | Маркер #7
T2 - T | 14 | Маркер иниц. срабатывание перехода | Маркер #7
T2 - T | 15 | Переход завершил работу | Маркер #7
T1 - T | 15 | Маркер иниц. срабатывание перехода | Маркер #8
T1 - T | 16 | Переход завершил работу | Маркер #8
T2 - T | 16 | Маркер иниц. срабатывание перехода | Маркер #8
T2 - T | 17 | Переход завершил работу | Маркер #8
T1 - T | 17 | Маркер иниц. срабатывание перехода | Маркер #9
T1 - T | 18 | Переход завершил работу | Маркер #9
T2 - T | 18 | Маркер иниц. срабатывание перехода | Маркер #9
T2 - T | 19 | Переход завершил работу | Маркер #9
T1 - T | 19 | Маркер иниц. срабатывание перехода | Маркер #10
T1 - T | 20 | Переход завершил работу | Маркер #10
T2 - T | 20 | Маркер иниц. срабатывание перехода | Маркер #10
T2 - T | 21 | Переход завершил работу | Маркер #10
T1 - T | 21 | Маркер иниц. срабатывание перехода | Маркер #11
T1 - T | 22 | Переход завершил работу | Маркер #11
T2 - T | 22 | Маркер иниц. срабатывание перехода | Маркер #11
T2 - T | 23 | Переход завершил работу | Маркер #11
T1 - T | 23 | Маркер иниц. срабатывание перехода | Маркер #12
T1 - T | 24 | Переход завершил работу | Маркер #12
T2 - T | 24 | Маркер иниц. срабатывание перехода | Маркер #12
T2 - T | 25 | Переход завершил работу | Маркер #12
T1 - T | 25 | Маркер иниц. срабатывание перехода | Маркер #13
T1 - T | 26 | Переход завершил работу | Маркер #13
T2 - T | 26 | Маркер иниц. срабатывание перехода | Маркер #13
T2 - T | 27 | Переход завершил работу | Маркер #13
T1 - T | 27 | Маркер иниц. срабатывание перехода | Маркер #14
T1 - T | 28 | Переход завершил работу | Маркер #14
T2 - T | 28 | Маркер иниц. срабатывание перехода | Маркер #14
T2 - T | 29 | Переход завершил работу | Маркер #14
T1 - T | 29 | Маркер иниц. срабатывание перехода | Маркер #15
T1 - T | 30 | Переход завершил работу | Маркер #15
T2 - T | 30 | Маркер иниц. срабатывание перехода | Маркер #15
T2 - T | 31 | Переход завершил работу | Маркер #15
T1 - T | 31 | Маркер иниц. срабатывание перехода | Маркер #16
T1 - T | 32 | Переход завершил работу | Маркер #16
T2 - T | 32 | Маркер иниц. срабатывание перехода | Маркер #16
T2 - T | 33 | Переход завершил работу | Маркер #16
T1 - T | 33 | Маркер иниц. срабатывание перехода | Маркер #17
T1 - T | 34 | Переход завершил работу | Маркер #17
T2 - T | 34 | Маркер иниц. срабатывание перехода | Маркер #17
T2 - T | 35 | Переход завершил работу | Маркер #17
T1 - T | 35 | Маркер иниц. срабатывание перехода | Маркер #18
