Log started 18.06.2017-18_12_04
####################################################
G1 | 1 | Сгенерирован маркер | Маркер #1
T1 - T | 1 | Маркер иниц. срабатывание перехода | Маркер #1
G1 | 2 | Маркер покинул генератор | Маркер #1
Q2 | 2 | Позиция маркирована | Маркер #1
T1 - T | 2 | Переход завершил работу | Маркер #1
T2 - T | 2 | Маркер иниц. срабатывание перехода | Маркер #1
G1 | 3 | Сгенерирован маркер | Маркер #2
Q2 | 3 | Маркер покинул очередь | Маркер #1
P5 | 3 | Позиция маркирована | Маркер #1
T2 - T | 3 | Переход завершил работу | Маркер #1
T1 - T | 3 | Маркер иниц. срабатывание перехода | Маркер #2
P5 | 3 | Маркер уничтожен из конечной позиции | Маркер #1
G1 | 4 | Маркер покинул генератор | Маркер #2
Q2 | 4 | Позиция маркирована | Маркер #2
T1 - T | 4 | Переход завершил работу | Маркер #2
T2 - T | 4 | Маркер иниц. срабатывание перехода | Маркер #2
G1 | 5 | Сгенерирован маркер | Маркер #3
Q2 | 5 | Маркер покинул очередь | Маркер #2
P5 | 5 | Позиция маркирована | Маркер #2
T2 - T | 5 | Переход завершил работу | Маркер #2
T1 - T | 5 | Маркер иниц. срабатывание перехода | Маркер #3
P5 | 5 | Маркер уничтожен из конечной позиции | Маркер #2
G1 | 6 | Маркер покинул генератор | Маркер #3
Q2 | 6 | Позиция маркирована | Маркер #3
T1 - T | 6 | Переход завершил работу | Маркер #3
T2 - T | 6 | Маркер иниц. срабатывание перехода | Маркер #3
G1 | 7 | Сгенерирован маркер | Маркер #4
Q2 | 7 | Маркер покинул очередь | Маркер #3
P5 | 7 | Позиция маркирована | Маркер #3
T2 - T | 7 | Переход завершил работу | Маркер #3
T1 - T | 7 | Маркер иниц. срабатывание перехода | Маркер #4
P5 | 7 | Маркер уничтожен из конечной позиции | Маркер #3
G1 | 8 | Маркер покинул генератор | Маркер #4
Q2 | 8 | Позиция маркирована | Маркер #4
T1 - T | 8 | Переход завершил работу | Маркер #4
T2 - T | 8 | Маркер иниц. срабатывание перехода | Маркер #4
G1 | 9 | Сгенерирован маркер | Маркер #5
Q2 | 9 | Маркер покинул очередь | Маркер #4
P5 | 9 | Позиция маркирована | Маркер #4
T2 - T | 9 | Переход завершил работу | Маркер #4
T1 - T | 9 | Маркер иниц. срабатывание перехода | Маркер #5
P5 | 9 | Маркер уничтожен из конечной позиции | Маркер #4
G1 | 10 | Маркер покинул генератор | Маркер #5
Q2 | 10 | Позиция маркирована | Маркер #5
T1 - T | 10 | Переход завершил работу | Маркер #5
T2 - T | 10 | Маркер иниц. срабатывание перехода | Маркер #5
G1 | 11 | Сгенерирован маркер | Маркер #6
Q2 | 11 | Маркер покинул очередь | Маркер #5
P5 | 11 | Позиция маркирована | Маркер #5
T2 - T | 11 | Переход завершил работу | Маркер #5
T1 - T | 11 | Маркер иниц. срабатывание перехода | Маркер #6
P5 | 11 | Маркер уничтожен из конечной позиции | Маркер #5
G1 | 12 | Маркер покинул генератор | Маркер #6
